prospect	<div style='font-size:0.95em;color:#555'>/ˈprɒspekt/</div><b>n.</b> 前景；展望；可能性<br><b>v.</b> 勘探<br><span style='color:#888'>搭配: the prospect of... = ……的前景/可能性</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>The <u>prospect</u> of a universal basic income has sparked profound debate</i><br><span style='color:#666'>全民基本收入的前景引发了深刻的辩论</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 8 (2010-2024)</div>	Day4 必背 高频
profound	<div style='font-size:0.95em;color:#555'>/prəˈfaʊnd/</div><b>a.</b> 深刻的；意义深远的；极度的<br><span style='color:#888'>近: deep / significant · 搭配: profound impact/change</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>has sparked <u>profound</u> debate across Western democracies</i><br><span style='color:#666'>在西方民主国家引发了深刻的辩论</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 6 (2010-2024)</div>	Day4 必背
proponent	<div style='font-size:0.95em;color:#555'>/prəˈpəʊnənt/</div><b>n.</b> 支持者，提倡者<br><span style='color:#888'>近: advocate / supporter · 反: opponent</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>Proponents</u> argue that a guaranteed monthly payment would sustain millions</i><br><span style='color:#666'>支持者认为每月固定发放的款项能维持数百万人的生活</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 3 (2010-2024)</div>	Day4 必背 错词
sustain	<div style='font-size:0.95em;color:#555'>/səˈsteɪn/</div><b>v.</b> 维持；承受；支撑<br><span style='color:#888'>派生: sustainable a. 可持续的 / sustainability n.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>would <u>sustain</u> millions of low-wage workers through economic downturns</i><br><span style='color:#666'>能在经济低迷期维持数百万低薪工人的生活</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 7 (2010-2024)</div>	Day4 必背
speculate	<div style='font-size:0.95em;color:#555'>/ˈspekjuleɪt/</div><b>v.</b> 推测；投机<br><span style='color:#888'>派生: speculation n. / speculative a.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>critics <u>speculate</u> that it would yield mass idleness</i><br><span style='color:#666'>批评者推测这会产生大规模的懒惰</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 4 (2010-2024)</div>	Day4 必背
yield	<div style='font-size:0.95em;color:#555'>/jiːld/</div><b>v.</b> 产出；<b>屈服，让步</b>；提供<br><b>n.</b> 产量，收益<br><span style='color:#888'>搭配: yield to = 屈服于 / yield results = 产生结果</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>it would <u>yield</u> mass idleness and erode the work ethic</i><br><span style='color:#666'>这会产出大规模的懒惰并侵蚀职业道德</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 6 (2010-2024)</div>	Day4 必背 熟词僻义
legitimate	<div style='font-size:0.95em;color:#555'>/lɪˈdʒɪtɪmət/</div><b>a.</b> 合法的；正当的；合理的<br><b>v.</b> 使合法化<br><span style='color:#888'>反: illegitimate · 近: lawful / valid</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>legitimate</u> economies depend upon the work ethic</i><br><span style='color:#666'>合法的经济体依赖于职业道德</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 3 (2010-2024)</div>	Day4 必背
confine	<div style='font-size:0.95em;color:#555'>v. /kənˈfaɪn/ · n. /ˈkɒnfaɪn/</div><b>v.</b> 限制，局限于<br><b>n.</b> (pl.) 范围，界限<br><span style='color:#888'>搭配: <b>be confined to</b> = 被限于…… / within the confines of</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>Pilot programs <u>confined</u> to small towns have produced mixed results</i><br><span style='color:#666'>局限在小城镇的试点项目产生了好坏参半的结果</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 4 (2010-2024)</div>	Day4 必背 搭配
rational	<div style='font-size:0.95em;color:#555'>/ˈræʃənl/</div><b>a.</b> 理性的；合理的<br><span style='color:#888'>派生: rationale n. 根本原因/基本理由 · rationalize v. 合理化</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>rational</u> adults, freed from survival pressure, invest in education</i><br><span style='color:#666'>理性的成年人，从生存压力中解放后，投资于教育</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 6 (2010-2024)</div>	Day4 必背
constraint	<div style='font-size:0.95em;color:#555'>/kənˈstreɪnt/</div><b>n.</b> 限制；约束；强制<br><span style='color:#888'>动词: constrain · 搭配: budget/time constraints</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>without <u>constraints</u>, a portion of recipients simply consume more</i><br><span style='color:#666'>没有约束的话，一部分接受者只是消费更多</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 5 (2010-2024)</div>	Day4 必背
